Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_DevKIT_0.4\P234_0.4_Pick Place\P234_0.4_BAS_DevKIT_PickAndPlace_Imperial.txt

========================================================================================================================
File Design Information:

Date:       16/02/22
Time:       21:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator    Layer       Center-X(mil) Center-Y(mil) Rotation Description                                                                       ManfactPart            RefVal          
R219          BottomLayer 5078.740      3218.504      90       "10KO 5% 100mW"                                                                   "WR06X103 JTL"         10KO            
R218          BottomLayer 5029.528      3218.504      90       "10KO 5% 100mW"                                                                   "WR06X103 JTL"         10KO            
R217          BottomLayer 5462.598      2480.315      90       "10KO 5% 100mW"                                                                   "WR06X103 JTL"         10KO            
R216          BottomLayer 5531.496      2480.315      90       "10KO 5% 100mW"                                                                   "WR06X103 JTL"         10KO            
"Logo GTS"    TopLayer    0.000         0.000         90       "Logo GTS 1"                                                                      ""                     GTS             
MO401         TopLayer    2460.866      2362.205      270      "RPI ZeroW Header 1-40"                                                           9900002236265          ZeroW-1         
MO406         TopLayer    0.000         0.000         270      "Outline of ZeroW"                                                                "RPI Zero W"           ZeroW           
MO405         TopLayer    2460.630      3503.937      0        "RPI ZeroW Mounting Studs"                                                        9774030151R            ZeroW-M         
MO404         TopLayer    1555.118      1220.472      0        "RPI ZeroW Mounting Studs"                                                        9774030151R            ZeroW-M         
MO403         TopLayer    2460.630      1220.472      0        "RPI ZeroW Mounting Studs"                                                        9774030151R            ZeroW-M         
MO402         TopLayer    1555.118      3503.937      0        "RPI ZeroW Mounting Studs"                                                        9774030151R            ZeroW-M         
MO507         TopLayer    0.000         0.000         90       "Outline of CM4"                                                                  "RPI CM4"              CM4             
MO506         TopLayer    5295.276      5748.032      0        "RPI CM4 Mounting Studs"                                                          9774030151R            CM4-M           
MO505         TopLayer    3996.063      5748.032      0        "RPI CM4 Mounting Studs"                                                          9774030151R            CM4-M           
MO504         TopLayer    5295.276      3858.268      0        "RPI CM4 Mounting Studs"                                                          9774030151R            CM4-M           
MO503         TopLayer    3996.063      3858.268      0        "RPI CM4 Mounting Studs"                                                          9774030151R            CM4-M           
MO502         TopLayer    5314.961      4724.409      90       "RPI CM4 Pin 101-200"                                                             DF40HC(3.0)-100DS-0.4V CM4-2           
Fid8          BottomLayer 1358.268      6003.937      180      "Fiducial Round 1mm"                                                              ""                     Fiducial        
Fid7          BottomLayer 6043.307      5748.032      180      "Fiducial Sqaure 1mm"                                                             ""                     Fiducial        
Fid6          BottomLayer 6043.307      1043.307      180      "Fiducial Round 1mm"                                                              ""                     Fiducial        
Fid5          BottomLayer 1043.307      1043.307      180      "Fiducial Sqaure 1mm"                                                             ""                     Fiducial        
Fid4          TopLayer    1358.268      6003.937      0        "Fiducial Sqaure 1mm"                                                             ""                     Fiducial        
Fid3          TopLayer    6043.307      5748.032      0        "Fiducial Round 1mm"                                                              ""                     Fiducial        
Fid2          TopLayer    6043.307      1043.307      0        "Fiducial Sqaure 1mm"                                                             ""                     Fiducial        
Fid1          TopLayer    1043.307      1043.307      0        "Fiducial Round 1mm"                                                              ""                     Fiducial        
"Logo FxLand" TopLayer    0.000         0.000         0        "Logo FxLand 2"                                                                   ""                     FxLand          
R215          TopLayer    4279.528      1866.142      180      "12KO 1% 62.5mW"                                                                  RC0402FR-1312KL        12KO            
R214          TopLayer    4086.614      1547.244      0        "10KO 5% 100mW"                                                                   "WR06X103 JTL"         10KO            
R213          TopLayer    3937.008      1515.748      90       "100KO 1% 100mW"                                                                  RC0603FR-07100KL       100KO           
R212          TopLayer    3996.063      1515.748      270      "100KO 1% 100mW"                                                                  RC0603FR-07100KL       100KO           
TR501         TopLayer    5610.236      5226.378      180      "30 V, N-channel Trench MOSFET"                                                   PMV20XNE               PMV20XNE        
R512          TopLayer    5511.811      5208.661      270      "10KO 1% 62.5mW"                                                                  WR04X1002FTL           10KO            
R511          TopLayer    5472.441      5208.661      90       "1KO 5% 62.5mW 100PPM"                                                            RC0402JR-131KL         1KO             
CO101         TopLayer    1279.528      4724.409      90       SDI300G-UR                                                                        457180002              "SDI300G Power" 
SW502         TopLayer    5669.291      5590.551      180      "Miniature Slide Switch"                                                          OS102011MS2QN1         "SPDT On-On"    
R107          TopLayer    3129.921      5224.409      180      "2.2KO 1% 62.5mW 100PPM"                                                          CRGCQ0402F2K2          2.2KO           
R106          TopLayer    3259.843      5314.961      180      "20KO 1% 100mW 100PPM"                                                            ERJ-S02F2002X          20KO            
R105          TopLayer    3129.921      5263.779      0        "12KO 1% 62.5mW"                                                                  RC0402FR-1312KL        12KO            
R104          TopLayer    3082.677      5531.496      0        "100O 1% 100mW"                                                                   WR06X1000FTL           100O            
L102          TopLayer    3366.142      5468.504      0        "3.3µH 5A 30% 21mO"                                                               SRN6045TA-3R3Y         "3.3µH 5A"      
C130          TopLayer    3287.402      5255.905      270      "1.2nF 50V 10% X7R"                                                               GCM155R71H122KA37D     1.2nF           
C129          TopLayer    3232.284      5255.905      270      "1nF 50V 1% C0G"                                                                  GRT1555C1H102FA02D     1nF             
C128          TopLayer    2933.071      5255.905      0        "100nF 50V 10% X7R"                                                               CGA2B3X7R1H104K050BB   100nF           
C127          TopLayer    2755.905      5370.065      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C126          TopLayer    2755.905      5263.766      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C125          TopLayer    2755.905      5153.530      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C124          TopLayer    2755.905      5043.294      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C123          TopLayer    2755.905      4936.995      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C122          TopLayer    2755.905      4826.759      180      "10µF 35V 10% X5R"                                                                C2012X5R1V106K125AC    10µF            
C121          TopLayer    3173.228      5188.976      180      "1nF 50V 1% C0G"                                                                  GRT1555C1H102FA02D     1nF             
C120          TopLayer    3771.653      5381.890      0        "10µF 16V 10% X5R"                                                                GRM21BR61C106KE15L     10µF            
C119          TopLayer    3740.157      5476.378      45       "10µF 16V 10% X5R"                                                                GRM21BR61C106KE15L     10µF            
C118          TopLayer    3645.669      5507.874      90       "10µF 16V 10% X5R"                                                                GRM21BR61C106KE15L     10µF            
C117          TopLayer    3578.740      5507.874      90       "10µF 16V 10% X5R"                                                                GRM21BR61C106KE15L     10µF            
R510          TopLayer    5728.346      5039.370      90       "22KO 1% 62.5mW 100PPM"                                                           MCWR04X2202FTL         22KO            
R509          TopLayer    5728.346      5216.535      90       "150O 1% 100mW"                                                                   MCWR06X1500FTL         150O            
D506          TopLayer    5728.346      5374.016      90       "Led Green"                                                                       KP-2012CGCK            "Led Green"     
R211          TopLayer    5905.512      1456.693      270      "150O 1% 100mW"                                                                   MCWR06X1500FTL         150O            
D207          TopLayer    5846.457      1456.693      90       "Led Green"                                                                       KP-2012CGCK            "Led Green"     
R210          TopLayer    6039.370      1803.150      0        "5.1KO 1% 62.5mW 100PPM"                                                          CRCW04025K10FKEDC      5.1kO           
R209          TopLayer    5755.905      1622.047      270      "5.1KO 1% 62.5mW 100PPM"                                                          CRCW04025K10FKEDC      5.1kO           
R508          TopLayer    5118.110      3641.732      90       "12KO 1% 62.5mW"                                                                  RC0402FR-1312KL        12KO            
IC503         TopLayer    5220.472      3641.732      90       "RT9742 High side power switch"                                                   RT9742GGJ5             RT9742          
CO503         TopLayer    5777.246      3661.968      90       "µSD-Card holder"                                                                 693071030811           µSD-Card        
C509          TopLayer    5334.646      3622.047      90       "10µF 16V 20% X5R"                                                                GRM188R61C106MAALD     10µF            
C508          TopLayer    5196.850      3543.307      0        "10µF 16V 20% X5R"                                                                GRM188R61C106MAALD     10µF            
C231          BottomLayer 4960.630      2736.220      180      "1µF 100V 15% X7R"                                                                GRM32ER72A105KA01      1µF             
